iter	Passed	Remaining
236	5459	6058
237	5482	6035
238	5505	6012
239	5528	5989
240	5551	5966
241	5574	5942
242	5596	5918
243	5618	5894
244	5640	5870
245	5663	5847
246	5686	5824
247	5709	5801
248	5731	5777
249	5754	5754
250	5777	5731
251	5801	5709
252	5826	5687
253	5849	5664
254	5874	5643
255	5898	5621
256	5921	5599
257	5946	5577
258	5970	5555
259	5993	5532
260	6016	5509
261	6039	5486
262	6062	5462
263	6084	5439
264	6107	5415
265	6131	5393
266	6156	5372
267	6180	5350
268	6205	5328
269	6230	5307
270	6255	5285
271	6279	5263
272	6303	5241
273	6328	5219
274	6351	5196
275	6373	5172
276	6397	5150
277	6423	5129
278	6451	5110
279	6475	5087
280	6500	5066
281	6524	5043
282	6548	5021
283	6573	4999
284	6597	4976
285	6621	4954
286	6646	4932
287	6670	4910
288	6693	4887
289	6720	4866
290	6744	4843
291	6769	4821
292	6794	4800
293	6819	4778
294	6844	4756
295	6869	4734
296	6894	4712
297	6919	4690
298	6943	4667
299	6968	4645
300	6991	4622
301	7014	4598
302	7037	4575
303	7062	4553
304	7085	4529
305	7107	4506
306	7130	4482
307	7155	4460
308	7178	4437
309	7202	4414
310	7227	4392
311	7250	4369
312	7273	4345
313	7295	4321
314	7328	4303
315	7353	4281
316	7381	4261
317	7407	4239
318	7439	4221
319	7469	4201
320	7494	4179
321	7518	4156
322	7542	4133
323	7566	4110
324	7589	4086
325	7612	4063
326	7635	4039
327	7658	4015
328	7682	3992
329	7710	3972
330	7742	3953
331	7767	3930
332	7792	3908
333	7816	3884
334	7841	3862
335	7866	3839
336	7890	3816
337	7915	3793
338	7939	3770
339	7962	3747
340	7985	3723
341	8009	3700
342	8033	3676
343	8056	3653
344	8082	3631
345	8106	3607
346	8129	3584
347	8153	3561
348	8176	3537
349	8199	3513
350	8223	3490
351	8246	3467
352	8270	3443
353	8293	3420
354	8316	3396
355	8338	3372
356	8361	3349
357	8383	3325
358	8406	3301
359	8430	3278
360	8454	3255
361	8477	3231
362	8500	3208
363	8523	3184
364	8545	3160
365	8569	3137
366	8592	3113
367	8615	3090
368	8639	3067
369	8663	3043
370	8686	3020
371	8709	2996
372	8732	2973
373	8754	2949
374	8777	2925
375	8799	2902
376	8822	2878
377	8845	2854
378	8867	2831
379	8891	2807
380	8915	2784
381	8937	2760
382	8960	2737
383	8983	2713
384	9006	2690
385	9029	2666
386	9051	2643
387	9074	2619
388	9097	2596
389	9120	2572
390	9142	2548
391	9166	2525
392	9189	2501
393	9212	2478
394	9235	2455
395	9258	2431
396	9280	2407
397	9303	2384
398	9325	2360
399	9348	2337
400	9370	2313
401	9393	2289
402	9416	2266
